game_id,game_name,game_url,game_channel
365,Uchuu Keibitai'S'D'F,https://www.youtube.com/watch?v=2TnsfGmqcLU,World of Longplays
184,Kekkyoku Nankyoku Daibouken,https://www.youtube.com/watch?v=tsfyfRjU9pE,World of Longplays
231,Metal Fighter,https://www.youtube.com/watch?v=UAiXSJ1HIms,World of Longplays
107,Famicom Yarou54,https://www.youtube.com/watch?v=hggDM-6fDss,Retro Craze
045,Castlevania,https://www.youtube.com/watch?v=yCKrE86cxQI,World of Longplays
132,Galaxian,https://www.youtube.com/watch?v=Q046OW4xdvc,World of Longplays
301,Solstice  The Questforthe Staffof Demnos,https://www.youtube.com/watch?v=ScW77tAMOgE,World of Longplays
185,Kick Master,https://www.youtube.com/watch?v=-Ihf-9FrRyU,World of Longplays
128,Formation'Z,https://www.youtube.com/watch?v=LCWBrzERxj8,World of Longplays
087,Dragon Spirit  The New Legend,https://www.youtube.com/watch?v=rOGwiRKI-ZU,World of Longplays
328,Super Xevious'G'A'M Pno Nazo,https://www.youtube.com/watch?v=BgIUHdLnR50,World of Longplays
059,Contra Force,https://www.youtube.com/watch?v=_UrECk3PoLY,World of Longplays
350,The Mafat Conspiracy,https://www.youtube.com/watch?v=x3Yakoqi3I0,World of Longplays
155,Heraclesno EikouII  Titanno Metsubou,https://www.youtube.com/watch?v=Xdf8Pdmftzo,Artimes
042,Captain TsubasaVol II  Super Striker,https://www.youtube.com/watch?v=XvOmFBTFT1w,World of Longplays
280,Road Runner,https://www.youtube.com/watch?v=DYlpgH8Pdzk,World of Longplays
167,Hudson's AdventureIsland,https://www.youtube.com/watch?v=Ly734lgeIAs,World of Longplays
020,Athena,https://www.youtube.com/watch?v=yD9rNhafCFA,World of Longplays
220,Marble Madness,https://www.youtube.com/watch?v=CvlbZwoWMgA,World of Longplays
240,Milon's Secret Castle,https://www.youtube.com/watch?v=CeG5i95291A,World of Longplays
373,Vs  Clu Clu Land,https://www.youtube.com/watch?v=DBDHe5EiMc8,Freidan
259,Pac  Man,https://www.youtube.com/watch?v=DxFjFS-idYk,World of Longplays
293,Shinobi,https://www.youtube.com/watch?v=JkZEj5p0aog,World of Longplays
